date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:02:36	2518/2518	---M-Z	200	added ('OK')	text/html	etag:%229d6-5fbf9b9e87100-gzip%22	https://shell-storm.org/x86doc/XABORT.html	index/asm/shell-storm.org/x86doc/XABORT.html	(from https://shell-storm.org/x86doc/index.html)
20:02:37	6155/6155	---M-Z	200	added ('OK')	text/html	etag:%22180b-5fbf9b9e87100-gzip%22	https://shell-storm.org/x86doc/XACQUIRE_XRELEASE.html	index/asm/shell-storm.org/x86doc/XACQUIRE_XRELEASE.html	(from https://shell-storm.org/x86doc/index.html)
20:02:38	5951/5951	---M-Z	200	added ('OK')	text/html	etag:%22173f-5fbf9b9e87100-gzip%22	https://shell-storm.org/x86doc/XADD.html	index/asm/shell-storm.org/x86doc/XADD.html	(from https://shell-storm.org/x86doc/index.html)
20:02:39	5185/5185	---M-Z	200	added ('OK')	text/html	etag:%221441-5fbf9b9e87100-gzip%22	https://shell-storm.org/x86doc/XBEGIN.html	index/asm/shell-storm.org/x86doc/XBEGIN.html	(from https://shell-storm.org/x86doc/index.html)
20:02:40	8316/8316	---M-Z	200	added ('OK')	text/html	etag:%22207c-5fbf9b9e87100-gzip%22	https://shell-storm.org/x86doc/XCHG.html	index/asm/shell-storm.org/x86doc/XCHG.html	(from https://shell-storm.org/x86doc/index.html)
20:02:41	3186/3186	---M-Z	200	added ('OK')	text/html	etag:%22c72-5fbf9b9e87100-gzip%22	https://shell-storm.org/x86doc/XEND.html	index/asm/shell-storm.org/x86doc/XEND.html	(from https://shell-storm.org/x86doc/index.html)
20:02:42	3820/3820	---M-Z	200	added ('OK')	text/html	etag:%22eec-5fbf9b9e87100-gzip%22	https://shell-storm.org/x86doc/XGETBV.html	index/asm/shell-storm.org/x86doc/XGETBV.html	(from https://shell-storm.org/x86doc/index.html)
20:02:43	5338/5338	---M-Z	200	added ('OK')	text/html	etag:%2214da-5fbf9b9e87100-gzip%22	https://shell-storm.org/x86doc/XLAT_XLATB.html	index/asm/shell-storm.org/x86doc/XLAT_XLATB.html	(from https://shell-storm.org/x86doc/index.html)
20:02:44	8620/8620	---M-Z	200	added ('OK')	text/html	etag:%2221ac-5fbf9b9e87100-gzip%22	https://shell-storm.org/x86doc/XOR.html	index/asm/shell-storm.org/x86doc/XOR.html	(from https://shell-storm.org/x86doc/index.html)
20:02:45	6890/6890	---M-Z	200	added ('OK')	text/html	etag:%221aea-5fbf9b9e87100-gzip%22	https://shell-storm.org/x86doc/XORPD.html	index/asm/shell-storm.org/x86doc/XORPD.html	(from https://shell-storm.org/x86doc/index.html)
20:02:46	7242/7242	---M-Z	200	added ('OK')	text/html	etag:%221c4a-5fbf9b9e87100-gzip%22	https://shell-storm.org/x86doc/XORPS.html	index/asm/shell-storm.org/x86doc/XORPS.html	(from https://shell-storm.org/x86doc/index.html)
20:02:47	10660/10660	---M-Z	200	added ('OK')	text/html	etag:%2229a4-5fbf9b9e87100-gzip%22	https://shell-storm.org/x86doc/XRSTOR.html	index/asm/shell-storm.org/x86doc/XRSTOR.html	(from https://shell-storm.org/x86doc/index.html)
20:02:48	8796/8796	---M-Z	200	added ('OK')	text/html	etag:%22225c-5fbf9b9e87100-gzip%22	https://shell-storm.org/x86doc/XRSTORS.html	index/asm/shell-storm.org/x86doc/XRSTORS.html	(from https://shell-storm.org/x86doc/index.html)
20:02:49	7067/7067	---M-Z	200	added ('OK')	text/html	etag:%221b9b-5fbf9b9e87100-gzip%22	https://shell-storm.org/x86doc/XSAVE.html	index/asm/shell-storm.org/x86doc/XSAVE.html	(from https://shell-storm.org/x86doc/index.html)
20:02:50	7960/7960	---M-Z	200	added ('OK')	text/html	etag:%221f18-5fbf9b9e87100-gzip%22	https://shell-storm.org/x86doc/XSAVEC.html	index/asm/shell-storm.org/x86doc/XSAVEC.html	(from https://shell-storm.org/x86doc/index.html)
20:02:51	6434/6434	---M-Z	200	added ('OK')	text/html	etag:%221922-5fbf9b9e87100-gzip%22	https://shell-storm.org/x86doc/XSAVEOPT.html	index/asm/shell-storm.org/x86doc/XSAVEOPT.html	(from https://shell-storm.org/x86doc/index.html)
20:02:52	8635/8635	---M-Z	200	added ('OK')	text/html	etag:%2221bb-5fbf9b9e87100-gzip%22	https://shell-storm.org/x86doc/XSAVES.html	index/asm/shell-storm.org/x86doc/XSAVES.html	(from https://shell-storm.org/x86doc/index.html)
20:02:53	4602/4602	---M-Z	200	added ('OK')	text/html	etag:%2211fa-5fbf9b9e87100-gzip%22	https://shell-storm.org/x86doc/XSETBV.html	index/asm/shell-storm.org/x86doc/XSETBV.html	(from https://shell-storm.org/x86doc/index.html)
20:02:54	2315/2315	---M-Z	200	added ('OK')	text/html	etag:%2290b-5fbf9b9e87100-gzip%22	https://shell-storm.org/x86doc/XTEST.html	index/asm/shell-storm.org/x86doc/XTEST.html	(from https://shell-storm.org/x86doc/index.html)
20:02:56	51/51	---MCZ	200	added ('OK')	text/plain	date:Tue,%2012%20Sep%202023%2017:02:55%20GMT	https://fonts.googleapis.com/robots.txt		(from https://shell-storm.org/x86doc/index.html)
20:02:56	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Sep%202023%2017:02:56%20GMT	https://www.googletagmanager.com/robots.txt		(from https://shell-storm.org/x86doc/index.html)
20:02:57	723/723	---M-Z	200	added ('OK')	text/css	etag:%222d3-5fbf9b9e87100-gzip%22	https://shell-storm.org/x86doc/style.css	index/asm/shell-storm.org/x86doc/style.css	(from https://shell-storm.org/x86doc/AAA.html)
